id,product_id,image,is_primary
1,1,products/classic-gold-wedding-ring.jpg,true
2,1,products/classic-gold-wedding-ring-side.jpg,false
3,2,products/minimal-gold-band.jpg,true
4,3,products/silver-classic-ring.jpg,true
5,4,products/diamond-solitaire-ring.jpg,true
6,4,products/diamond-solitaire-ring-side.jpg,false
7,5,products/gold-floral-ring.jpg,true
8,6,products/platinum-diamond-ring.jpg,true
9,7,products/classic-couple-ring-set.jpg,true
10,8,products/emerald-statement-ring.jpg,true
11,9,products/ruby-gold-ring.jpg,true
12,10,products/silver-infinity-ring.jpg,true
13,11,products/gold-floral-necklace.jpg,true
14,11,products/gold-floral-necklace-detail.jpg,false
15,12,products/diamond-pendant-necklace.jpg,true
16,13,products/silver-heart-necklace.jpg,true
17,14,products/gold-rope-chain.jpg,true
18,14,products/gold-rope-chain-detail.jpg,false
19,15,products/diamond-choker-necklace.jpg,true
20,16,products/bridal-gold-necklace-set.jpg,true
21,16,products/bridal-gold-necklace-set-detail.jpg,false
22,17,products/silver-layered-necklace.jpg,true
23,18,products/gold-lotus-pendant.jpg,true
24,19,products/classic-gold-earrings.jpg,true
25,20,products/diamond-stud-earrings.jpg,true
26,21,products/gold-hoop-earrings.jpg,true
27,22,products/silver-drop-earrings.jpg,true
28,23,products/gold-jhumka-earrings.jpg,true
29,23,products/gold-jhumka-earrings-side.jpg,false
30,24,products/diamond-hoop-earrings.jpg,true
31,25,products/platinum-stud-earrings.jpg,true
32,26,products/silver-jhumka-earrings.jpg,true
33,27,products/gold-chain-bracelet.jpg,true
34,28,products/silver-charm-bracelet.jpg,true
35,29,products/diamond-tennis-bracelet.jpg,true
36,29,products/diamond-tennis-bracelet-side.jpg,false
37,30,products/gold-cuff-bracelet.jpg,true
38,31,products/silver-classic-bracelet.jpg,true
39,32,products/platinum-tennis-bracelet.jpg,true
40,33,products/gold-mens-chain.jpg,true
41,33,products/gold-mens-chain-detail.jpg,false
42,34,products/silver-mens-ring.jpg,true
43,35,products/gold-mens-bracelet.jpg,true
44,36,products/platinum-mens-ring.jpg,true
45,37,products/gold-womens-ring.jpg,true
46,38,products/diamond-womens-ring.jpg,true
47,38,products/diamond-womens-ring-side.jpg,false
48,39,products/gold-bridal-earrings.jpg,true
49,39,products/gold-bridal-earrings-detail.jpg,false
50,40,products/bridal-diamond-bracelet.jpg,true
51,41,products/everyday-silver-ring.jpg,true
52,42,products/everyday-gold-pendant.jpg,true
53,43,products/gold-pearl-necklace.jpg,true
54,44,products/silver-pearl-earrings.jpg,true
55,45,products/diamond-drop-earrings.jpg,true
56,45,products/diamond-drop-earrings-side.jpg,false
57,46,products/gold-layered-bracelet.jpg,true
58,47,products/silver-chain-bracelet.jpg,true
59,48,products/diamond-heart-pendant.jpg,true
60,49,products/platinum-wedding-band.jpg,true
61,50,products/gold-engraved-wedding-ring.jpg,true
62,51,products/sapphire-gold-ring.jpg,true
63,52,products/diamond-halo-ring.jpg,true
64,52,products/diamond-halo-ring-side.jpg,false
65,53,products/silver-moon-necklace.jpg,true
66,54,products/gold-box-chain.jpg,true
67,55,products/diamond-bridal-necklace.jpg,true
68,55,products/diamond-bridal-necklace-detail.jpg,false
69,56,products/silver-hoop-earrings.jpg,true
70,57,products/gold-drop-earrings.jpg,true
71,58,products/platinum-diamond-earrings.jpg,true
72,59,products/gold-charm-bracelet.jpg,true
73,60,products/silver-cuff-bracelet.jpg,true
74,5,products/gold-floral-ring-side.jpg,false
75,9,products/ruby-gold-ring-side.jpg,false
76,18,products/gold-lotus-pendant-side.jpg,false
77,43,products/gold-pearl-necklace-detail.jpg,false
78,48,products/diamond-heart-pendant-detail.jpg,false
79,51,products/sapphire-gold-ring-side.jpg,false
80,59,products/gold-charm-bracelet-detail.jpg,false
